Substantiv,der,Bevölkerungsstand,<-(e)s; Bevölkerungsstände>,stanje stanovništva,/
,,bevor,`,prije,/
Verb,,bewegen,,kretati (se),/
Substantiv,die,Bewegung,<Bewegung; -en>,kretanje/pokret/ganuće,/
Verb,,bewerben,ich bewerbe mich / ich bewarb mich / ich habe mich beworben,konkurirati/prijaviti se na natječaj,/
Substantiv,der,Bewerber,<Bewerbers; Bewerber>,kandidat/pristupnik/prijavljenik/natjecatelj,/
Substantiv,die,Bewerbung,<Bewerbung; -en>,natječaj/natjecanje,/
Substantiv,die,Bewerbungsunterlagen,pl.,papiri za prijavu/konkurs/natječaj,/
Verb,,bewerten,,procijeniti / evaluirati,/
Substantiv,der,Bewohner,<-s; Bewohner>,stanovnik/stanar,/
Adjektiv,,bewölkt,,oblačan,/
Verb,,bewundern,,diviti se,/
Verb,,bezahlen,ich bezahle / ich bezahlte / ich habe bezahlt,platiti,/
,,beziehungsweise (bzw.) ,,odnosno,/
Substantiv,die,Bibel,<Bibel; -n>,Biblija,/
Substantiv,die,Bibliothek,<Bibliothek; -en>,knjižnica/biblioteka,/
Verb,,biegen,ich biege / ich bog / ich habe gebogen,savijati/krivudati/vijugati,/
Substantiv,die,Biene,<Biene; -n>,pčela,/
Substantiv,das,Bier,<-(e)s; -e>,pivo,/
Verb,,bieten ,,nuditi / ponuditi,/
Substantiv,das,Bild,<-(e)s; -er>,slika,/
Substantiv,der,Bildhauer,<-s; Bildhauer>,kipar,/
Substantiv,der,Bildungsgutschein,<-(e)s; -e>,kupon za edukaciju / vaučer za edukaciju,/
Adjektiv,,billig,,jeftin,/
Substantiv,die,Birne,<Birne; -n>,kruška,/
,,bis,,do,/
,,bis dahin,,do tada,/
,,Bis nachher,,vidimo se poslije,/
,,bis vor Kurzem ,,donedavno,/
Substantiv,der,Bischof,<-(e)s; Bischöfe>,biskup,/
,,bisher,,do sad,/
,,bislang ,,do sada / za sada,/
Verb,,bitten,,moliti nekoga,/
Adjektiv,,bitter,,gorak,/
Substantiv,die,Blase,<-; -n>,žulj,/
Verb,,blasen,ich blase / ich blies / ich habe geblasen,puhati,/
Adjektiv,,blass,,blijed,/
Substantiv,das,Blatt,<-(e)s; Blätter>,list,/
Adjektiv,,blättrig,,lisnat/slojevit,/
Adjektiv,,blau,,plav,/
Substantiv,die,Blechdose,<Blechdose; -n>,limenka,/
Verb,,bleiben,ich bleibe / ich blieb / ich bin geblieben,ostati,/
Substantiv,der,Bleistift,<-(e)s; -e>,olovka,/
